Topic,Text,Question,Answer
The Universe,"The Universe is everything we can touch, feel, sense, measure or detect. It includes living things, planets, stars, galaxies, dust clouds, light, and even time. Before the birth of the Universe, time, space and matter did not exist. The Universe contains billions of galaxies, each containing millions or billions of stars. The space between the stars and galaxies is largely empty. However, even places far from stars and planets contain scattered particles of dust or a few hydrogen atoms per cubic centimeter. Space is also filled with radiation (e.g. light and heat), magnetic fields and high energy particles (e.g. cosmic rays). The Universe is incredibly huge. It would take a modern jet fighter more than a million years to reach the nearest star to the Sun. Travelling at the speed of light (300,000 km per second), it would take 100,000 years to cross our Milky Way galaxy alone. No one knows the exact size of the Universe, because we cannot see the edge – if there is one. All we do know is that the visible Universe is at least 93 billion light years across. (A light year is the distance light travels in one year – about 9 trillion km.) The Universe has not always been the same size. Scientists believe it began in a Big Bang, which took place nearly 14 billion years ago. Since then, the Universe has been expanding outward at very high speed. So the area of space we now see is billions of times bigger than it was when the Universe was very young. The galaxies are also moving further apart as the space between them expands.",Where is the edge of the Universe?,we cannot see the edge
The Universe,"The Universe is everything we can touch, feel, sense, measure or detect. It includes living things, planets, stars, galaxies, dust clouds, light, and even time. Before the birth of the Universe, time, space and matter did not exist. The Universe contains billions of galaxies, each containing millions or billions of stars. The space between the stars and galaxies is largely empty. However, even places far from stars and planets contain scattered particles of dust or a few hydrogen atoms per cubic centimeter. Space is also filled with radiation (e.g. light and heat), magnetic fields and high energy particles (e.g. cosmic rays). The Universe is incredibly huge. It would take a modern jet fighter more than a million years to reach the nearest star to the Sun. Travelling at the speed of light (300,000 km per second), it would take 100,000 years to cross our Milky Way galaxy alone. No one knows the exact size of the Universe, because we cannot see the edge – if there is one. All we do know is that the visible Universe is at least 93 billion light years across. (A light year is the distance light travels in one year – about 9 trillion km.) The Universe has not always been the same size. Scientists believe it began in a Big Bang, which took place nearly 14 billion years ago. Since then, the Universe has been expanding outward at very high speed. So the area of space we now see is billions of times bigger than it was when the Universe was very young. The galaxies are also moving further apart as the space between them expands.",What materials are filled in the Space?,"Space is also filled with radiation (e.g. light and heat), magnetic fields and high energy particles (e.g. cosmic rays)"
The Universe,"The Universe is everything we can touch, feel, sense, measure or detect. It includes living things, planets, stars, galaxies, dust clouds, light, and even time. Before the birth of the Universe, time, space and matter did not exist. The Universe contains billions of galaxies, each containing millions or billions of stars. The space between the stars and galaxies is largely empty. However, even places far from stars and planets contain scattered particles of dust or a few hydrogen atoms per cubic centimeter. Space is also filled with radiation (e.g. light and heat), magnetic fields and high energy particles (e.g. cosmic rays). The Universe is incredibly huge. It would take a modern jet fighter more than a million years to reach the nearest star to the Sun. Travelling at the speed of light (300,000 km per second), it would take 100,000 years to cross our Milky Way galaxy alone. No one knows the exact size of the Universe, because we cannot see the edge – if there is one. All we do know is that the visible Universe is at least 93 billion light years across. (A light year is the distance light travels in one year – about 9 trillion km.) The Universe has not always been the same size. Scientists believe it began in a Big Bang, which took place nearly 14 billion years ago. Since then, the Universe has been expanding outward at very high speed. So the area of space we now see is billions of times bigger than it was when the Universe was very young. The galaxies are also moving further apart as the space between them expands.",What is the speed of light?,"300,000 km per second"
Our nearest star,"The Sun is our nearest star. The Sun provides us with light and heat. It also gives out dangerous ultraviolet light which causes sunburn and may cause cancer. Without the Sun there would be no daylight, and our planet would simply be a dark, frozen world, with no oceans of liquid water and no life. This huge ball of superhot gas is 1.4 million kilometers across, equal to 109 Earths set side by side. With a mass of 2 million-trillion-trillion-trillion kilograms, it weighs as much as 330 000 Earths. About 1 300000 Earths would fit inside the Sun! From Earth, the Sun looks like it moves across the sky in the daytime and appears to disappear at night. This is because the Earth is spinning towards the east. The Earth spins about its axis, an imaginary line that runs through the middle of the Earth between the North and South poles. This means that to us here on the spinning Earth, the Sun appears to rise in the east in the morning, and climb higher and higher in the sky towards midday. In the afternoon the Sun then seems to move lower and lower in the sky before setting in the west. Although it seems small when seen at sunrise or sunset, this is only because the Sun lies about 150 million km away from us. At this distance, it takes about 8 minutes for sunlight to reach us – even when it is traveling at about 300 000 km/s. This means that we see the Sun set eight minutes after the event has actually taken place!",Which direction is the Earth spinning?,Earth is spinning towards the east
Our nearest star,"The Sun is our nearest star. The Sun provides us with light and heat. It also gives out dangerous ultraviolet light which causes sunburn and may cause cancer. Without the Sun there would be no daylight, and our planet would simply be a dark, frozen world, with no oceans of liquid water and no life. This huge ball of superhot gas is 1.4 million kilometers across, equal to 109 Earths set side by side. With a mass of 2 million-trillion-trillion-trillion kilograms, it weighs as much as 330 000 Earths. About 1 300000 Earths would fit inside the Sun! From Earth, the Sun looks like it moves across the sky in the daytime and appears to disappear at night. This is because the Earth is spinning towards the east. The Earth spins about its axis, an imaginary line that runs through the middle of the Earth between the North and South poles. This means that to us here on the spinning Earth, the Sun appears to rise in the east in the morning, and climb higher and higher in the sky towards midday. In the afternoon the Sun then seems to move lower and lower in the sky before setting in the west. Although it seems small when seen at sunrise or sunset, this is only because the Sun lies about 150 million km away from us. At this distance, it takes about 8 minutes for sunlight to reach us – even when it is traveling at about 300 000 km/s. This means that we see the Sun set eight minutes after the event has actually taken place!",how delayed the sun light to reach earth?,it takes about 8 minutes for sunlight to reach us
The Sun,"Special instruments known as spectrographs tell us that the Sun is made almost entirely of two gasses, hydrogen and helium. The temperature at its surface is about 5 500 degrees Celsius – more than 20 times hotter than an oven maximum. In the center, the temperature soars to about 15 million degrees Celsius and the gas is squeezed to about 10 times the density of lead. At such high temperatures and pressures, the Sun becomes a nuclear reactor, where hydrogen is converted to helium. At the same time, huge amounts of radiation are produced. This finds its way to the surface as visible, infrared and ultraviolet light, and X-rays. Every hour, the Sun ejects a billion tons of gas into space at a speed of up to 2 million km per hour. Even so, the Sun is so massive that it can continue burning for billions of years. The Sun becomes more active every 11 years. At such times, the number of dark sunspots on its surface increases. At the peak of the sunspot cycle, there are many more explosive solar storms. During the last solar maximum in 2001, many solar flares and coronal mass ejections blasted billions of tonnes of material into space at high speed. If these storms head towards Earth, they can have serious side-effects. They may cause power cuts, damage satellites, and affect communications and navigation systems. They also cause the Earth's auroras – commonly known as the Northern and Southern Lights.",how can we study the Sun?,Special instruments known as spectrographs tell us that the Sun
The Sun,"Special instruments known as spectrographs tell us that the Sun is made almost entirely of two gasses, hydrogen and helium. The temperature at its surface is about 5 500 degrees Celsius – more than 20 times hotter than an oven maximum. In the center, the temperature soars to about 15 million degrees Celsius and the gas is squeezed to about 10 times the density of lead. At such high temperatures and pressures, the Sun becomes a nuclear reactor, where hydrogen is converted to helium. At the same time, huge amounts of radiation are produced. This finds its way to the surface as visible, infrared and ultraviolet light, and X-rays. Every hour, the Sun ejects a billion tons of gas into space at a speed of up to 2 million km per hour. Even so, the Sun is so massive that it can continue burning for billions of years. The Sun becomes more active every 11 years. At such times, the number of dark sunspots on its surface increases. At the peak of the sunspot cycle, there are many more explosive solar storms. During the last solar maximum in 2001, many solar flares and coronal mass ejections blasted billions of tonnes of material into space at high speed. If these storms head towards Earth, they can have serious side-effects. They may cause power cuts, damage satellites, and affect communications and navigation systems. They also cause the Earth's auroras – commonly known as the Northern and Southern Lights.",What kinds of lights are divided from the radiation of the Sun?,"This finds its way to the surface as visible, infrared and ultraviolet light, and X-rays"
Dwarfs and supergiants,"The Sun is a star. Like most stars, the Sun is a ball of very hot gas that gives off huge amounts of light, heat and other radiation. This radiation is produced by nuclear reactions in the core. It is like millions of hydrogen bombs exploding every second. There are many different types of star. Red stars are the coolest, with surface temperatures of around 2500 degrees Celsius. Blue-white stars are the hottest, reaching a sizzling 40 000 degrees. Yellow stars like the Sun are in-between, with surface temperatures of about 5500 degrees. Stars come in many sizes. The Sun is medium-sized. It burns its hydrogen fuel fairly slowly, so it can keep shining for 10 billion years. Some stars are much bigger and hotter than the Sun. The red supergiant Antares is 800 times wider than the Sun. If it was at the center of our Solar System, it would swallow up all of the inner planets, including Earth. Like gas guzzler cars, these supergiants use all of their hydrogen and helium fuel very quickly. After perhaps 500 million years, they die in a supernova explosion. The coolest, slowest burning stars are red dwarfs. These can survive for more than 10 trillion (10 000 billion) years. Even cooler and smaller are brown dwarfs. These are 'failed stars'. They are so cool – sometimes only a few hundred degrees at the surface - that their nuclear furnaces never start to burn.",Stars can be bigger than the Sun?,Some stars are much bigger and hotter than the Sun
Dwarfs and supergiants,"The Sun is a star. Like most stars, the Sun is a ball of very hot gas that gives off huge amounts of light, heat and other radiation. This radiation is produced by nuclear reactions in the core. It is like millions of hydrogen bombs exploding every second. There are many different types of star. Red stars are the coolest, with surface temperatures of around 2500 degrees Celsius. Blue-white stars are the hottest, reaching a sizzling 40 000 degrees. Yellow stars like the Sun are in-between, with surface temperatures of about 5500 degrees. Stars come in many sizes. The Sun is medium-sized. It burns its hydrogen fuel fairly slowly, so it can keep shining for 10 billion years. Some stars are much bigger and hotter than the Sun. The red supergiant Antares is 800 times wider than the Sun. If it was at the center of our Solar System, it would swallow up all of the inner planets, including Earth. Like gas guzzler cars, these supergiants use all of their hydrogen and helium fuel very quickly. After perhaps 500 million years, they die in a supernova explosion. The coolest, slowest burning stars are red dwarfs. These can survive for more than 10 trillion (10 000 billion) years. Even cooler and smaller are brown dwarfs. These are 'failed stars'. They are so cool – sometimes only a few hundred degrees at the surface - that their nuclear furnaces never start to burn.",What star is bigger than the Sun?,The red supergiant Antares is 800 times wider than the Sun.
Dwarfs and supergiants,"The Sun is a star. Like most stars, the Sun is a ball of very hot gas that gives off huge amounts of light, heat and other radiation. This radiation is produced by nuclear reactions in the core. It is like millions of hydrogen bombs exploding every second. There are many different types of star. Red stars are the coolest, with surface temperatures of around 2500 degrees Celsius. Blue-white stars are the hottest, reaching a sizzling 40 000 degrees. Yellow stars like the Sun are in-between, with surface temperatures of about 5500 degrees. Stars come in many sizes. The Sun is medium-sized. It burns its hydrogen fuel fairly slowly, so it can keep shining for 10 billion years. Some stars are much bigger and hotter than the Sun. The red supergiant Antares is 800 times wider than the Sun. If it was at the center of our Solar System, it would swallow up all of the inner planets, including Earth. Like gas guzzler cars, these supergiants use all of their hydrogen and helium fuel very quickly. After perhaps 500 million years, they die in a supernova explosion. The coolest, slowest burning stars are red dwarfs. These can survive for more than 10 trillion (10 000 billion) years. Even cooler and smaller are brown dwarfs. These are 'failed stars'. They are so cool – sometimes only a few hundred degrees at the surface - that their nuclear furnaces never start to burn.",What color of stars is the most hotter one?,Blue-white stars
